Date,Open,High,Low,Close,Volume,Adj Close
12-Jul-2002,1,10416.6,9665.9,10061.34,300.64,312.94
12-Jun-2002,1,10493.76,9985.79,10099.92,310.59,314.14
13-May-2002,1,10521.09,9886.13,10185.12,307.49,316.79
13-Apr-2002,1,10051.7,9572.66,10003.47,297.74,311.14
14-Mar-2002,1,9804.14,9333.15,9656.25,290.29,300.34
12-Feb-2002,1,9657.86,9296.17,9424.77,289.14,293.14
13-Jan-2002,1,9808.97,8931.27,9572.66,277.79,297.74
14-Dec-2001,1,9227.05,8820.35,9186.86,274.34,285.74
14-Nov-2001,1,8945.74,8751.23,8820.35,272.19,274.34
15-Oct-2001,1,9122.56,8838.04,8889.48,274.89,276.49
15-Sep-2001,1,9427.99,9059.87,9059.87,281.79,281.79
16-Aug-2001,1,9227.05,8714.26,9186.86,271.04,285.74
17-Jul-2001,1,8884.65,8537.43,8852.5,265.54,275.34
17-Jun-2001,1,8873.4,8522.97,8624.24,265.09,268.24
18-May-2001,1,9363.69,8532.61,8751.23,265.39,272.19
18-Apr-2001,1,8809.1,8322.03,8809.1,258.84,273.99
19-Mar-2001,1,8450.63,8228.79,8376.68,255.94,260.54
17-Feb-2001,1,8760.88,8238.44,8381.51,256.24,260.69
18-Jan-2001,1,8616.2,8252.91,8277.02,256.69,257.44
19-Dec-2000,1,8842.86,8458.67,8471.53,263.09,263.49
19-Nov-2000,1,8844.47,8527.79,8686.93,265.24,270.19
20-Oct-2000,1,8728.73,8481.17,8527.79,263.79,265.24
20-Sep-2000,1,8911.98,8664.43,8690.15,269.49,270.29
21-Aug-2000,1,8905.55,8739.98,8739.98,271.84,271.84
22-Jul-2000,1,9008.43,8744.8,8860.54,271.99,275.59
22-Jun-2000,1,9350.83,8934.49,8979.5,277.89,279.29
23-May-2000,1,9419.95,8694.97,9196.51,270.44,286.04
23-Apr-2000,1,9026.11,8760.88,8809.1,272.49,273.99
24-Mar-2000,1,9159.54,8865.36,8997.18,275.74,279.84
23-Feb-2000,1,9813.79,9127.39,9154.71,283.89,284.74
24-Jan-2000,1,10178.69,9098.45,9717.34,282.99,302.24
25-Dec-1999,1,9352.44,8982.71,9251.16,279.39,287.74
25-Nov-1999,1,9596.78,8876.62,9252.77,276.09,287.79
26-Oct-1999,1,9709.3,9267.24,9564.63,288.24,297.49
26-Sep-1999,1,10488.94,8680.5,9709.3,269.99,301.99
27-Aug-1999,1,8680.5,8138.77,8680.5,253.14,269.99
28-Jul-1999,1,8407.23,8129.13,8138.77,252.84,253.14
28-Jun-1999,1,8458.67,8127.52,8185.39,252.79,254.59
29-May-1999,1,8635.49,8299.52,8381.51,258.14,260.69
29-Apr-1999,1,9262.42,8624.24,8635.49,268.24,268.59
30-Mar-1999,1,9151.5,8873.4,8873.4,275.99,275.99
28-Feb-1999,1,9452.1,8995.57,9006.82,279.79,280.14
29-Jan-1999,1,9325.11,9116.13,9228.66,283.54,287.04
30-Dec-1998,1,9368.51,9075.95,9116.13,282.29,283.54
30-Nov-1998,1,9521.22,9188.47,9225.44,285.79,286.94
31-Oct-1998,1,9575.88,9278.49,9521.22,288.59,296.14
01-Oct-1998,1,9720.55,9362.08,9397.45,291.19,292.29
01-Sep-1998,1,9583.92,8789.81,9447.28,273.39,293.84
02-Aug-1998,1,9286.53,8789.81,8789.81,273.39,273.39
03-Jul-1998,1,9490.68,9286.53,9286.53,288.84,288.84
03-Jun-1998,1,9572.66,9190.08,9453.71,285.84,294.04
04-May-1998,1,9866.84,9283.31,9370.12,288.74,291.44
04-Apr-1998,1,10114.39,9837.9,9866.84,305.99,306.89
05-Mar-1998,1,9837.9,9294.57,9837.9,289.09,305.99
03-Feb-1998,1,9696.44,9368.51,9540.51,291.39,296.74
04-Jan-1998,1,9800.93,8953.78,9693.23,278.49,301.49
05-Dec-1997,1,9519.62,9098.45,9259.2,282.99,287.99
05-Nov-1997,1,10138.5,9302.6,9302.6,289.34,289.34
06-Oct-1997,1,10742.92,9979.36,10138.5,310.39,315.34
06-Sep-1997,1,10839.37,10286.39,10664.16,319.94,331.69
07-Aug-1997,1,10564.49,10254.24,10328.19,318.94,321.24
08-Jul-1997,1,10553.24,10151.36,10267.1,315.74,319.34
08-Jun-1997,1,11067.64,10223.7,10223.7,317.99,317.99
09-May-1997,1,11223.57,10953.51,11059.6,340.69,343.99
09-Apr-1997,1,11223.57,10897.24,11051.56,338.94,343.74
10-Mar-1997,1,11353.77,11125.51,11223.57,346.04,349.09
08-Feb-1997,1,11643.12,10831.34,11262.15,336.89,350.29
09-Jan-1997,1,11561.14,10922.96,10922.96,339.74,339.74
10-Dec-1996,1,11882.64,11438.97,11464.69,355.79,356.59
10-Nov-1996,1,12332.74,11811.91,11863.35,367.39,368.99
11-Oct-1996,1,12343.99,12126.98,12157.52,377.19,378.14
11-Sep-1996,1,12329.53,12122.16,12273.26,377.04,381.74
12-Aug-1996,1,12506.35,12295.77,12316.67,382.44,383.09
13-Jul-1996,1,12530.46,12305.41,12458.13,382.74,387.49
13-Jun-1996,1,12419.55,12236.29,12332.74,380.59,383.59
14-May-1996,1,12618.88,12361.68,12371.32,384.49,384.79
14-Apr-1996,1,12692.82,12535.29,12570.65,389.89,390.99
15-Mar-1996,1,12871.25,12659.06,12691.21,393.74,394.74
14-Feb-1996,1,13049.69,12631.74,12715.33,392.89,395.49
